0.7546	0.7546	K
0.7605	0.7605	|
1.2249	1.2249	|
1.6893	1.6893	|
2.1537	2.1537	|
2.6180	2.6180	|
3.0824	3.0824	|
3.5410	3.5410	|
3.9996	3.9996	|
4.4118	4.4118	K
4.4582	4.4582	|
4.9226	4.9226	|
5.3870	5.3870	|
5.8514	5.8514	|
6.3158	6.3158	|
6.7802	6.7802	|
7.2446	7.2446	|
7.7032	7.7032	|
8.1328	8.1328	K
8.1618	8.1618	|
8.6262	8.6262	|
9.0848	9.0848	|
9.5434	9.5434	|
10.0020	10.0020	|
10.4606	10.4606	|
10.9192	10.9192	|
11.3778	11.3778	|
11.7957	11.7957	K
11.8364	11.8364	|
12.3008	12.3008	|
12.7652	12.7652	|
13.2296	13.2296	|
13.6591	13.6591	K
13.6882	13.6882	|
14.1526	14.1526	|
14.6112	14.6112	|
15.0698	15.0698	|
15.5109	15.5109	K
15.5341	15.5341	|
15.9927	15.9927	|
16.4571	16.4571	|
16.6545	16.6545	K
16.9157	16.9157	|
17.3337	17.3337	K
17.3743	17.3743	|
17.8387	17.8387	|
18.3031	18.3031	|
18.5063	18.5063	K
18.7617	18.7617	|
19.1739	19.1739	K
19.2261	19.2261	|
19.6847	19.6847	|
20.1491	20.1491	|
20.3349	20.3349	K
20.6077	20.6077	|
21.0141	21.0141	K
21.0721	21.0721	|
21.5365	21.5365	|
22.0009	22.0009	|
22.1751	22.1751	K
22.4595	22.4595	|
22.8717	22.8717	K
22.9181	22.9181	|
23.3767	23.3767	|
23.8411	23.8411	|
24.0210	24.0210	K
24.2997	24.2997	|
24.7060	24.7060	K
24.7641	24.7641	|
25.2227	25.2227	|
25.6871	25.6871	|
25.8670	25.8670	K
26.1457	26.1457	|
26.5985	26.5985	K
26.6101	26.6101	|
27.0687	27.0687	|
27.5273	27.5273	|
27.7537	27.7537	K
27.9917	27.9917	|
28.4096	28.4096	K
28.4561	28.4561	|
28.9205	28.9205	|
29.3849	29.3849	|
29.8434	29.8434	|
30.2730	30.2730	K
30.3020	30.3020	|
30.7606	30.7606	|
31.2308	31.2308	|
31.4108	31.4108	K
31.6836	31.6836	|
32.1132	32.1132	K
32.1480	32.1480	|
32.6066	32.6066	|
33.0826	33.0826	|
33.2568	33.2568	K
33.5296	33.5296	|
33.9592	33.9592	K
33.9940	33.9940	|
34.4526	34.4526	|
34.9228	34.9228	|
35.1202	35.1202	K
35.3640	35.3640	|
35.7994	35.7994	K
35.8400	35.8400	|
36.2986	36.2986	|
36.7688	36.7688	|
36.9836	36.9836	K
37.0765	37.0765	K
37.2216	37.2216	|
37.6337	37.6337	K
37.6802	37.6802	|
38.1504	38.1504	|
38.6206	38.6206	|
38.7947	38.7947	K
39.0734	39.0734	|
39.5029	39.5029	K
39.5320	39.5320	|
39.9906	39.9906	|
40.4608	40.4608	|
40.6407	40.6407	K
40.7684	40.7684	K
40.9194	40.9194	|
41.3315	41.3315	K
41.3780	41.3780	|
41.8366	41.8366	|
42.3126	42.3126	|
42.4925	42.4925	K
42.6144	42.6144	K
42.7654	42.7654	|
43.1775	43.1775	K
43.2239	43.2239	|
43.6825	43.6825	|
44.1585	44.1585	|
44.3559	44.3559	K
44.6113	44.6113	|
45.0235	45.0235	K
45.0699	45.0699	|
45.5343	45.5343	|
46.0103	46.0103	|
46.1787	46.1787	K
46.4573	46.4573	|
46.8811	46.8811	K
46.9159	46.9159	|
47.3803	47.3803	|
47.8505	47.8505	|
48.0247	48.0247	K
48.1524	48.1524	K
48.2975	48.2975	|
48.7329	48.7329	K
48.7619	48.7619	|
49.2263	49.2263	|
49.6965	49.6965	|
49.8765	49.8765	K
49.9868	49.9868	K
50.1493	50.1493	|
50.5789	50.5789	K
50.6079	50.6079	|
51.0665	51.0665	|
51.5367	51.5367	|
51.7283	51.7283	K
51.9953	51.9953	|
52.4539	52.4539	|
52.9183	52.9183	|
53.3769	53.3769	|
53.5684	53.5684	K
53.8355	53.8355	|
54.2650	54.2650	K
54.2999	54.2999	|
54.7643	54.7643	|
55.2345	55.2345	|
55.4144	55.4144	K
55.6873	55.6873	|
56.1168	56.1168	K
56.1459	56.1459	|
56.6102	56.6102	|
57.0863	57.0863	|
57.2604	57.2604	K
57.5332	57.5332	|
57.9686	57.9686	K
57.9918	57.9918	|
58.4562	58.4562	|
58.9206	58.9206	|
59.3792	59.3792	|
59.8146	59.8146	K
59.8378	59.8378	|
60.3022	60.3022	|
60.5228	60.5228	K
60.6331	60.6331	K
60.7492	60.7492	K
60.7666	60.7666	|
60.8711	60.8711	K
60.9756	60.9756	K
61.0859	61.0859	K
61.2252	61.2252	|
61.4458	61.4458	K
61.6606	61.6606	K
61.6896	61.6896	|
62.1482	62.1482	|
62.6126	62.6126	|
62.8216	62.8216	K
63.0712	63.0712	|
63.5066	63.5066	K
63.5356	63.5356	|
63.9942	63.9942	|
64.2090	64.2090	K
64.3309	64.3309	K
64.4412	64.4412	K
64.4586	64.4586	|
64.5573	64.5573	K
64.6676	64.6676	K
64.7895	64.7895	K
64.9172	64.9172	|
65.1320	65.1320	K
