gameT,hitTime,drift,musicT,lane,laneLabel,type
142.0693,105.0059,37.0634,142.3253,0,A,TAP
142.0693,103.8797,38.1896,142.3253,0,A,TAP
142.0693,103.1541,38.9152,142.3253,1,S,TAP
142.0693,102.0395,40.0298,142.3253,0,A,TAP
142.0693,101.3081,40.7612,142.3253,0,A,TAP
142.6133,116.8074,25.8059,142.8693,1,S,TAP
142.6133,116.1921,26.4212,142.8693,0,A,TAP
142.6133,116.076,26.5373,142.8693,0,A,TAP
142.6133,114.915,27.6983,142.8693,1,S,TAP
142.6133,114.3577,28.2556,142.8693,0,A,TAP
142.6133,114.2416,28.3717,142.8693,2,D,TAP
142.6133,113.0806,29.5327,142.8693,0,A,TAP
142.6133,112.384,30.2293,142.8693,0,A,TAP
142.6133,111.2172,31.3961,142.8693,1,S,TAP
142.6133,110.538,32.0753,142.8693,0,A,TAP
142.6133,109.4002,33.2131,142.8693,0,A,TAP
142.6133,123.4773,19.136,142.8693,0,A,TAP
142.6133,122.3105,20.3028,142.8693,1,S,TAP
142.6133,121.7416,20.8717,142.8693,0,A,TAP
142.6133,121.6255,20.9878,142.8693,2,D,TAP
142.6133,120.4762,22.1371,142.8693,0,A,TAP
142.6133,119.8957,22.7176,142.8693,0,A,TAP
142.6133,118.6302,23.9831,142.8693,1,S,TAP
142.6133,118.0439,24.5694,142.8693,0,A,TAP
142.6133,117.9336,24.6797,142.8693,0,A,TAP
142.6133,132.7247,9.8886,142.8693,0,A,TAP
142.6133,131.5405,11.0728,142.8693,1,S,TAP
142.6133,130.8264,11.7869,142.8693,0,A,TAP
142.6133,129.7119,12.9014,142.8693,2,D,TAP
142.6133,129.1198,13.4935,142.8693,0,A,TAP
142.6133,129.0153,13.598,142.8693,0,A,TAP
142.6133,127.8659,14.7474,142.8693,1,S,TAP
142.6133,127.1577,15.4556,142.8693,0,A,TAP
142.6133,126.0373,16.576,142.8693,0,A,TAP
142.656,140.7762,1.8798,142.912,0,A,TAP
142.656,138.9128,3.7432,142.912,1,S,TAP
142.656,138.2162,4.4398,142.912,0,A,TAP
